identifier;coord1_ICRS,J2000/2000_;MagB;MagV;MagR
V* BD Cam;03 42 09.3255143544 +63 13 00.468590376;6.74;5.11;3.49
HD 25291;04 04 27.1629402984 +59 09 19.832668272;5.63;5.12;4.62
HD 24480;03 57 08.2895322360 +61 06 31.986146592;6.68;5.05;6.37
HD 26755;04 17 08.0935256520 +57 51 37.151263908;6.826;5.721;nan
HD 27322;04 21 51.8062341936 +56 30 22.735067076;6.03;5.92;nan
* 1 Cam;04 32 01.84227 +53 54 39.0450;5.876;5.772;nan
NAME * 2 Cam AB;04 39 58.037136 +53 28 23.61900;5.91;5.56;nan
* 3 Cam;04 39 54.6810448896 +53 04 46.327454940;6.158;5.073;nan
HD 29721;04 43 21.5945231424 +49 58 25.636438704;5.863;5.856;nan
HD 29526;04 41 24.1285097472 +48 18 03.165290280;5.642;5.652;nan
HD 30557;04 51 09.3214674576 +48 44 26.394386136;6.646;5.643;nan
HD 175824;18 54 47.1269593464 +48 51 33.852890016;6.274;5.836;nan
* 16 Lyr;19 01 26.3826174888 +46 56 05.147482164;5.189;5.006;nan
V* LV Dra;19 00 13.6777912704 +50 32 00.478630500;5.202;5.377;nan
* 51 Dra;19 04 55.1654401944 +53 23 47.960875608;5.37;5.38;nan
* kap Cyg;19 17 06.1686516 +53 22 06.453375;4.73;3.76;3.13
V* V1762 Cyg;19 08 25.7885833200 +52 25 32.631746052;6.982;5.893;nan
* 53 Dra;19 11 40.5809009832 +56 51 33.139912284;6.131;5.125;nan
* 54 Dra;19 13 55.1148285240 +57 42 18.286411716;6.154;5.003;nan
HD 182190;19 20 16.0385592000 +57 38 42.437561424;7.54;5.91;nan
* e Dra;20 01 28.5443420208 +64 49 15.514785408;6.83;5.27;nan
V* AC Dra;20 20 06.0116763312 +68 52 49.144172700;7.14;5.55;nan
* rho Dra;20 02 49.0726835 +67 52 24.829427;5.81;4.5;3.57
HD 201636;21 06 23.3019303168 +71 25 54.472096488;6.253;5.877;nan
HD 214035;22 32 16.2246408240 +76 13 35.187719268;5.71;5.7;nan
HD 214710;22 37 12.9654175848 +75 22 18.520600224;7.359;5.777;nan
* 49 Cas;02 05 31.5501321720 +76 06 54.216449424;6.17;5.22;nan
HD 15920;02 38 02.0331728856 +72 49 05.710593144;6.063;5.166;nan
HD 23005;03 46 00.9400234704 +67 12 05.768204220;6.122;5.782;nan
V* BE Cam;03 49 31.2775482648 +65 31 33.525822504;6.36;4.48;2.77
HD 26670;04 16 53.5560892104 +61 50 59.967116520;5.56;5.7;nan
HD 27245;04 21 47.6491713792 +60 44 08.246072688;6.896;5.398;nan
* 4 Cam;04 48 00.2729226024 +56 45 25.836947712;5.519;5.275;5.1
HD 31134;04 56 07.0723806720 +52 52 11.054427096;5.83;5.74;nan
HD 175535;18 53 13.5509916072 +50 42 29.594035404;5.82;4.92;nan
HD 174237;18 46 43.0891606728 +52 59 16.654686648;5.8;5.9;nan
* 48 Dra;18 56 45.0357338352 +57 48 53.339590224;6.835;5.663;nan
* 49 Dra;19 00 43.4564400648 +55 39 29.883053808;6.368;5.513;nan
* pi. Dra;19 20 40.0933316 +65 42 52.309518;4.61;4.59;4.55
HD 187340;19 44 18.4177974840 +69 20 13.425412920;5.952;5.899;nan
* 73 Dra;20 31 30.4066960752 +74 57 16.653861468;5.271;5.185;nan
HD 203399;21 15 42.4483614864 +77 00 44.268922728;7.452;5.898;nan
HD 200039;20 54 44.3512549872 +75 55 32.061148500;6.939;5.988;nan
* 77 Dra;21 05 29.2657046472 +78 07 35.009168736;5.828;5.907;nan
* rho01 Cep;22 26 42.4343328384 +78 47 09.143726100;6;5.84;nan
* rho Cep;22 29 52.9779651816 +78 49 27.432032592;5.54;5.46;nan
HD 6798;01 12 16.8163183464 +79 40 26.269579776;5.62;5.6;nan
* 47 Cas;02 05 07.4242273 +77 16 52.824198;5.59;5.268;nan
HD 19275;03 11 56.2691616816 +74 23 37.169888028;4.878;4.834;nan
HD 23277;03 49 13.7392842504 +70 52 15.780722844;5.489;5.391;nan
* gam Cam;03 50 21.5089163 +71 19 56.148492;4.655;4.604;nan
HD 25274;04 06 03.1828561968 +68 40 47.898996384;7.414;5.864;nan
HD 27022;04 20 40.3256358240 +65 08 25.589310792;6.08;5.27;4.63
HD 28780;04 36 24.1980155472 +64 15 41.760866448;5.88;5.91;nan
* 5 Cam;04 55 03.1308043248 +55 15 32.857418952;5.53;5.52;nan
* 7 Cam;04 57 17.1960924 +53 45 07.565405;4.416;4.433;nan
* alf Aur;05 16 41.35871 +45 59 52.7693;0.88;0.08;-0.52
HD 171779;18 33 56.69453 +52 21 12.6567;6.47;5.38;nan
HD 172883;18 39 52.8163551912 +52 11 45.916177812;5.923;5.992;nan
* c Dra;18 42 37.9596158552 +55 32 22.007313973;4.94;5.02;nan
* omi Dra;18 51 12.0943444536 +59 23 18.060530136;5.798;4.636;nan
HD 176598;18 56 25.7183401176 +65 15 29.104305408;6.565;5.621;nan
* del Dra;19 12 33.3019645 +67 39 41.545581;4.07;3.07;2.37
* sig Dra;19 32 21.5902098601 +69 39 40.235805206;5.46;4.68;4.04
* kap Cep;20 08 53.3487448872 +77 42 41.115549672;4.35;4.4;nan
HD 199437;20 47 33.4549272120 +80 33 08.135888508;6.509;5.371;nan
HD 205072;21 24 49.5519174432 +80 31 29.368335108;6.914;5.965;nan
HD 216446;22 47 29.0691534336 +83 09 13.783501260;6.04;4.78;nan
HD 4853;00 54 53.1400621608 +83 42 26.675355348;5.68;5.59;nan
HD 16458;02 47 47.7257592048 +81 26 54.505744152;7.091;5.781;nan
HD 18778;03 11 42.6740794488 +81 28 14.559645900;6.069;5.907;nan
HD 18438;03 06 07.8405349800 +79 25 06.727027512;7.05;5.49;nan
HD 19978;03 20 19.7344100616 +77 44 05.147106108;5.649;5.444;nan
HD 28204;04 33 30.6800925600 +72 31 42.980317824;6.213;5.928;nan
* alf Cam;04 54 03.0103983 +66 20 33.636467;4.34;4.29;4.18
HD 30442;04 52 05.2195394328 +63 30 19.517329836;6.969;5.467;nan
* bet Cam;05 03 25.0896309 +60 26 32.089527;4.95;4.02;3.33
* 11 Cam;05 06 08.4527318736 +58 58 20.543222820;5;5.08;nan
HD 32356;05 06 29.7099857640 +61 10 11.099528580;7.377;5.994;nan
* 16 Cam;05 23 27.8426747304 +57 32 39.837146280;5.23;5.25;nan
HD 169305;18 21 32.6635447439 +49 07 17.733625096;6.71;5.05;nan
* d Dra;18 32 34.5225933264 +57 02 44.145773628;5.38;4.761;nan
HD 172728;18 37 33.5174187456 +62 31 35.673279564;5.69;5.74;nan
* 42 Dra;18 25 59.1369601368 +65 33 48.531343788;6.005;4.823;nan
* ups Dra;18 54 23.8518781344 +71 17 49.906555332;5.964;4.814;nan
* tau Dra;19 15 32.9853001560 +73 21 19.878315048;5.7;4.45;3.55
* 50 Dra;18 46 22.2418766688 +75 26 02.240023848;5.409;5.358;nan
HD 174980;18 45 46.7674046544 +74 05 07.984339008;6.214;5.244;nan
V* UX Dra;19 21 35.5182299784 +76 33 34.557161688;8.81;5.94;nan
* 59 Dra;19 09 09.8814606288 +76 33 37.813819608;5.4;5.107;nan
* 76 Dra;20 42 35.2361216616 +82 31 52.165095600;5.74;5.75;nan
* 75 Dra;20 28 14.5838131800 +81 25 21.749766636;6.379;5.368;nan
HD 217382;22 54 24.9707515824 +84 20 46.231215936;6.112;4.684;nan
HD 212710;22 13 10.5128347032 +86 06 28.811644560;5.233;5.258;nan
HD 217157;22 51 03.0627080880 +85 22 25.445316792;7.236;5.891;nan
* 2 UMi;01 08 44.8800522 +86 15 25.523975;5.459;4.225;nan
HD 20084;03 32 20.1347090088 +84 54 39.764690712;6.501;5.609;nan
HD 26836;04 27 02.9352494784 +80 49 26.975993772;6.6;5.43;nan
HD 29678;04 48 50.3531666856 +75 56 28.391593380;6.225;5.952;nan
V* BN Cam;05 12 22.4545154808 +73 56 48.040416348;5.32;5.45;nan
HD 33541;05 18 13.2421269840 +73 16 05.150872740;5.79;5.83;nan
HD 34255;05 20 22.6106577168 +62 39 13.360854780;7.327;5.598;nan
* 17 Cam;05 30 10.2032478360 +63 04 01.989079104;7.092;5.407;nan
HD 36678;05 36 35.2182194688 +54 25 43.170953628;7.363;5.716;nan
* omi Aur;05 45 54.0419582136 +49 49 34.575758364;5.495;5.46;nan
* 36 Dra;18 13 53.8328065738 +64 23 50.225760192;5.407;4.987;4.8
* 37 Dra;18 15 17.0855122152 +68 45 20.942085816;7.022;5.953;nan
* phi Dra;18 20 45.43224 +71 20 16.1499;4.15;4.22;nan
* chi Dra;18 21 03.38255 +72 43 58.2518;4.07;3.58;3.14
HD 172340;18 29 44.9665442064 +77 32 49.450361532;6.831;5.644;nan
* 40 Dra;18 00 03.5284407912 +80 00 03.048202980;6.447;5.939;nan
* 41 Dra;18 00 09.1817075904 +80 00 14.807356056;6.132;5.642;nan
HD 221525;23 27 00.9306209496 +87 18 27.041264352;5.79;5.56;nan
* alf UMi;02 31 49.09456 +89 15 50.7923;2.62;2.02;1.53
HD 26659;04 30 00.3551523144 +83 20 25.356431184;6.316;5.472;nan
HD 26356;04 28 13.2676445496 +83 48 28.034013312;5.387;5.507;nan
HD 30338;05 00 20.7224810688 +81 11 38.727575988;6.39;5.09;nan
C 0516+732;05 12 39.00 +73 58 29.0;nan;4.2;nan
HD 37289;05 42 26.4485335344 +65 41 51.537368076;6.866;5.609;nan
* 31 Cam;05 54 57.8261678880 +59 53 18.127157424;5.2;5.2;nan
* 26 Cam;05 46 30.3898557096 +56 06 56.072459988;6.073;5.927;nan
* ksi Aur;05 54 50.7669372792 +55 42 25.080150456;5.005;4.96;nan
* del Aur;05 59 31.6184193950 +54 17 05.056666306;4.73;3.72;2.95
HD 40084;05 59 21.7792765296 +49 55 28.339706424;7.103;5.907;nan
* pi. Aur;05 59 56.0979260520 +45 56 12.245697636;5.97;4.25;2.56
HD 164646;17 59 56.2056043896 +45 30 04.959040968;7.24;5.67;nan
* gam Dra;17 56 36.36988 +51 29 20.0242;3.76;2.23;1.08
* ksi Dra;17 53 31.7296234 +56 52 21.514262;4.93;3.75;2.92
* f Dra;17 31 57.8711593056 +68 08 06.090797328;6.135;5.074;nan
HD 161178;17 37 08.8834634616 +72 27 20.858215464;6.886;5.869;nan
* psi01 Dra A;17 41 56.0623701456 +72 08 55.927617972;4.98;4.55;4.3
* psi01 Dra B;17 41 58.1032377264 +72 09 24.845629104;6.04;5.53;5.2
* psi02 Dra;17 55 11.1521210328 +72 00 18.453898548;5.75;5.43;nan
* psi01 Dra;17 41 57.0 +72 09 10;5.01;4.58;4.2
HD 158996;17 19 37.1114961984 +80 08 11.042214000;7.219;5.706;nan
* eps UMi;16 45 58.2436042536 +82 02 14.129823444;5.109;4.212;nan
* del UMi;17 32 12.9967087 +86 35 11.258377;4.367;4.336;nan
* 24 UMi;17 30 47.5894782768 +86 58 04.971244656;5.981;5.756;nan
V* OV Cep;07 40 30.4903485456 +87 01 12.378059472;6.7;5.07;nan
HD 45866;06 40 28.8770145504 +77 59 44.817887976;7.219;5.72;nan
HD 42818;06 18 50.7763037 +69 19 11.231041;4.77;4.757;nan
* 36 Cam;06 12 51.0625468800 +65 43 06.315969252;6.694;5.344;nan
* 1 Lyn;06 17 54.8190724 +61 30 55.025075;6.89;5.05;nan
* 40 Cam;06 15 40.5367282584 +59 59 56.272874532;6.703;5.351;nan
* 37 Cam;06 09 59.0135170848 +58 56 08.494481400;6.45;5.355;nan
HD 40486;06 01 43.0598629176 +48 57 34.004293956;7.409;5.959;nan
* 36 Aur;06 00 58.5621717168 +47 54 06.929545644;5.694;5.706;nan
* iot Her;17 39 27.8860861 +46 00 22.800110;3.63;3.8;nan
* y Her;17 36 37.6537001976 +48 35 08.277294480;6.503;5.353;nan
HD 161193;17 41 21.7973360928 +51 49 05.332414260;7.062;5.994;nan
HD 161693;17 43 59.1688824432 +53 48 06.146004348;5.77;5.76;nan
HD 158460;17 25 41.3535370032 +60 02 54.233277972;5.666;5.645;nan
* 26 Dra A;17 34 59.6247424155 +61 52 28.241837953;5.93;5.28;nan
RX J1724.2+6957;17 24 17.12 +69 56 47.5;5.37;4.89;nan
HD 89571;10 29 41.6296586538 +84 15 06.948854815;5.74;5.51;nan
V* VZ Cam;07 31 04.4677275984 +82 24 41.281519392;6.62;4.96;nan
HD 64486;08 04 47.0588749680 +79 28 46.609833972;5.339;5.387;nan
HD 49878;07 00 04.0371845062 +76 58 38.671049122;5.916;4.54;nan
HD 46509;06 40 32.2525521672 +71 44 55.629570336;7.089;5.86;nan
HD 50885;07 01 21.4189944984 +70 48 29.863508724;7.03;5.69;nan
* 43 Cam;06 53 42.2482692144 +68 53 17.919625020;4.975;5.096;nan
* 42 Cam;06 50 57.0890928144 +67 34 18.963203232;4.961;5.122;nan
* 2 Lyn;06 19 37.3845795 +59 00 39.468274;4.462;4.434;nan
* 5 Lyn;06 26 48.8723033424 +58 25 02.668882368;6.734;5.197;nan
* 6 Lyn;06 30 47.1075901469 +58 09 45.479816893;6.798;5.855;6.95
V* RR Lyn;06 26 25.8366305040 +56 17 06.346261104;5.76;5.54;nan
* 45 Aur;06 21 46.1303030544 +53 27 07.838642844;5.774;5.333;nan
* psi01 Aur;06 24 53.9015502096 +49 17 16.411221960;6.67;4.75;3.36
* x Her;17 26 44.2419822528 +48 15 36.221599656;5.96;5.83;nan
* bet Dra;17 30 25.9616959 +52 18 04.999351;3.79;2.81;2.12
HD 157681;17 21 45.3683593608 +53 25 13.548351756;7.147;5.677;nan
HD 156295;17 12 32.5799450400 +62 52 27.605492292;5.737;5.54;nan
* h Dra;16 56 01.6892483 +65 08 05.263139;5.36;4.88;4.6
* zet Dra;17 08 47.1959624 +65 42 52.863384;3.06;3.17;3.23
HD 145622;16 03 31.3491727488 +76 47 38.186624292;5.78;5.73;nan
* 19 UMi;16 10 49.5244396608 +75 52 39.222532704;5.37;5.473;nan
* zet UMi;15 44 03.5189152 +77 47 40.178845;4.316;4.274;nan
* tet UMi;15 31 24.9136103328 +77 20 57.695859924;6.535;4.982;nan
HD 120565;13 42 23.1834269472 +82 45 08.710304796;6.918;5.913;nan
HD 112014;12 49 06.6700877376 +83 25 04.221296940;5.86;5.85;nan
HD 105943;12 10 59.9795967552 +81 42 35.390138760;7.571;5.955;nan
HD 112028;12 49 13.7347330152 +83 24 46.432131660;5.39;5.35;nan
HD 81817;09 37 05.2877790 +81 19 34.971143;5.736;4.255;nan
HD 90089;10 31 04.7079248136 +82 33 31.146280416;5.622;5.252;nan
HD 64307;08 00 11.7384685272 +73 55 04.503664668;6.777;5.347;nan
HD 68375;08 19 32.2890586200 +75 45 24.866403012;6.451;5.541;nan
* 14 Lyn;06 53 05.0484585 +59 26 54.751889;6.03;5.38;nan
* 11 Lyn;06 37 38.3871354264 +56 51 27.109138716;5.89;5.89;nan
* 13 Lyn;06 46 49.5102734664 +57 10 09.032912364;6.31;5.335;nan
* 47 Aur;06 30 02.9737870536 +46 41 07.996903980;7.327;5.866;nan
* 74 Her;17 20 21.1210849968 +46 14 26.803184316;7.16;5.59;nan
* mu. Dra A;17 05 20.1239330976 +54 28 12.082867392;6.17;5.66;nan
* mu. Dra B;17 05 20.2106516880 +54 28 14.275098156;6.22;5.69;nan
* mu. Dra;17 05 20.12403 +54 28 12.0994;5.4;4.92;nan
* g Dra;16 40 55.1189266 +64 35 20.560563;6.045;4.842;nan
HD 145454;16 06 19.6767729888 +67 48 36.486764388;5.407;5.441;nan
HD 148293;16 21 48.7107861744 +69 06 33.814560060;6.376;5.264;nan
* 15 Dra;16 27 59.0145650664 +68 46 05.293510572;4.906;4.949;nan
* 4 UMi;14 08 50.9261147184 +77 32 51.035212788;6.177;4.805;nan
HD 117566;13 26 56.8034835936 +78 38 37.932441360;6.501;5.742;nan
HD 120084;13 42 39.2016156192 +78 03 51.979994712;6.916;5.899;nan
HD 68951;08 20 40.3217263848 +72 24 26.033406804;7.52;5.98;nan
HD 58425;07 30 52.6646699448 +68 27 56.327018904;6.752;5.643;nan
* 15 Lyn;06 57 16.6052608 +58 25 21.940435;5.2;4.35;3.7
* psi06 Aur;06 47 39.5758906536 +48 47 22.143754212;6.34;5.216;nan
* psi04 Aur;06 43 04.9720763016 +44 31 28.018081668;6.5;5.02;nan
HD 151613;16 45 17.8614916416 +56 46 54.839965656;5.199;4.837;nan
HD 150449;16 38 00.4484604216 +56 00 56.025367380;6.337;5.28;nan
* eta Dra;16 23 59.4863284800 +61 30 51.155139060;3.65;2.74;2.12
HD 149650;16 32 25.6787551656 +60 49 23.885481432;5.95;5.91;nan
HD 140227;15 37 39.1284164424 +69 17 00.040060968;7.011;5.627;nan
* gam UMi;15 20 43.7160391 +71 50 02.459561;3.067;3.002;nan
* 11 UMi;15 17 05.8894632720 +71 49 26.047336872;6.384;5.015;nan
* 5 UMi;14 27 31.5433513 +75 41 45.571658;5.664;4.235;nan
* bet UMi;14 50 42.32580 +74 09 19.8142;3.55;2.08;0.97
V* CO Cam;12 12 11.9446126056 +77 36 58.468259340;5.468;5.137;nan
HD 91190;10 35 05.4903371088 +75 42 46.446678396;5.807;4.853;nan
HD 78935;09 15 52.5789821184 +72 56 46.768111512;6.107;5.93;nan
* 55 Cam;08 12 48.7881816720 +68 28 26.663711052;6.352;5.329;nan
* 51 Cam;07 46 40.0781232816 +65 27 20.426603364;7.124;5.925;nan
* 19 Lyn A;07 22 52.0583392848 +55 16 53.017263336;5.69;5.78;nan
* psi09 Aur;06 56 32.0579741496 +46 16 26.395726332;5.81;5.87;nan
HD 50763;06 56 56.0497978104 +46 42 19.266875172;6.969;5.877;nan
* psi10 Aur;06 57 37.1070885 +45 05 38.740409;4.919;4.893;nan
* 52 Her;16 49 14.21821 +45 58 59.9620;4.914;4.823;nan
HD 152812;16 53 17.5500684960 +47 25 00.163611660;7.3;5.987;nan
* 42 Her;16 38 44.8450092648 +48 55 42.032370216;6.45;4.9;nan
* 17 Dra A;16 36 13.7213201496 +52 55 27.922363104;5.32;5.39;6.3
* 16 Dra;16 36 11.4203423088 +52 54 00.188694792;5.47;5.52;nan
V* DQ Dra;16 24 25.3384367736 +55 12 18.346742676;5.736;5.734;nan
V* AT Dra;16 17 15.3511289064 +59 45 18.060635412;7.03;5.4;nan
* tet Dra;16 01 53.3463580 +58 33 54.905636;4.52;4;3.56
HD 141653;15 46 40.0063720128 +62 35 58.403154012;5.24;5.194;nan
HD 138852;15 30 55.7637907944 +64 12 31.295104524;6.721;5.738;nan
HD 117187;13 26 08.0656217760 +72 23 29.306176440;7.42;5.79;nan
HD 113049;12 58 47.3396746248 +75 28 21.079377696;7.027;5.99;nan
HD 107193;12 18 49.9851888120 +75 09 38.018570112;5.504;5.46;nan
HD 85841;09 58 22.7449919616 +72 52 46.098118560;7.002;5.835;nan
* 22 UMa;09 34 53.5274537856 +72 12 20.447230572;6.272;5.768;nan
* 27 UMa;09 42 57.1888460808 +72 15 09.423473868;6.176;5.142;nan
* d UMa;09 34 28.8594727848 +69 49 49.226541888;5.34;4.57;3.91
* rho UMa;09 02 32.6914772184 +67 37 46.622818272;6.29;4.76;3.29
HD 71088;08 29 46.1954937192 +67 17 50.782799544;6.861;5.884;nan
* 2 UMa;08 34 36.1798933008 +65 08 42.407069532;5.655;5.453;nan
* pi.01 UMa;08 39 11.7046112880 +65 01 15.263122512;6.26;5.64;5.12
* 57 Cam;08 19 17.1600565608 +62 30 25.762427712;6.624;5.723;nan
HD 65301;08 01 20.7778506984 +59 02 50.648608284;6.171;5.772;nan
* 24 Lyn;07 43 00.4155061 +58 42 37.295002;5.024;4.947;nan
HD 60294;07 36 47.0350608048 +55 45 18.225179028;7.056;5.931;nan
HD 55866;07 17 33.7184690424 +52 07 51.842502192;7.201;5.918;nan
HD 57646;07 24 57.0851293416 +51 53 14.131109328;7.388;5.783;4.51
V* UY Lyn;07 13 23.3996704176 +51 25 43.481320932;7.15;5.5;nan
HD 56169;07 18 31.9772854248 +49 27 53.120846160;5.13;5.05;4.9
HD 150030;16 36 11.2017394920 +46 36 47.992202640;6.851;5.814;nan
HD 138265;15 27 51.4237531200 +60 40 12.796947012;7.35;5.9;nan
HD 137443;15 22 38.4084286968 +63 20 29.274668484;7.039;5.712;nan
HD 137389;15 22 37.2557908248 +62 02 49.429913280;5.946;5.986;nan
V* RR UMi;14 57 35.0072853 +65 55 56.856956;6.19;4.54;2.69
HD 124730;14 12 04.0096611597 +69 25 57.170958187;6.82;5.24;nan
HD 118904;13 37 10.9876472376 +71 14 32.097528276;6.711;5.496;nan
V* EN UMa;10 21 03.3408522792 +68 44 51.552308292;6.14;5.9;nan
HD 83489;09 42 14.8212530808 +69 14 15.121219452;6.864;5.717;nan
HD 83126;09 39 27.8745915312 +67 16 20.024843880;7.497;5.947;nan
* sig02 UMa;09 10 23.54597 +67 08 02.4642;5.29;4.8;nan
* sig02 UMa A;09 10 23.5466655480 +67 08 02.461772436;5.29;4.813;nan
* sig01 UMa;09 08 23.4996723648 +66 52 23.642167080;6.66;5.136;5.55
* 6 UMa;08 56 37.4453423664 +64 36 13.778404704;6.456;5.56;nan
* pi.02 UMa;08 40 12.8171670288 +64 19 40.570243212;5.78;4.61;3.72
* omi UMa;08 30 15.8701566400 +60 43 05.405606188;4.27;3.42;2.76
* 29 Lyn;08 17 50.4140169144 +59 34 16.083043572;5.79;5.63;nan
HD 67224;08 10 03.7769318208 +58 14 53.682499680;7.28;5.89;nan
* 21 Lyn;07 26 42.8518693 +49 12 41.490677;4.594;4.61;nan
* 22 Lyn;07 29 55.9571717856 +49 40 20.853841260;5.802;5.357;nan
HD 58661;07 28 51.4870582200 +48 11 02.180139576;5.611;5.703;nan
HD 58661A;07 28 51.482 +48 11 02.15;5.608;5.71;nan
HD 56963;07 21 17.4996742032 +45 13 41.437298928;6.065;5.739;nan
HD 149303;16 31 47.2275879216 +45 35 53.744910612;5.78;5.68;7.16
HD 147352;16 19 11.2131701112 +49 02 17.370141324;7.28;5.91;nan
HD 144204;16 02 05.5655978016 +52 54 57.377036916;7.42;5.902;nan
HD 142531;15 52 16.5561816552 +55 49 36.163766604;6.787;5.8;nan
HD 141472;15 46 34.7591100240 +55 28 29.238001392;7.346;5.917;nan
HD 141675;15 47 37.9269361488 +55 22 35.852118600;6.122;5.878;nan
* iot Dra;15 24 55.7746265 +58 57 57.834445;4.45;3.29;2.51
HD 133388;15 01 27.0889129944 +60 12 16.063214148;6.03;5.92;nan
* alf Dra;14 04 23.3499533 +64 22 33.061896;3.64;3.68;nan
* 4 Dra;12 30 06.6619965864 +69 12 03.974236920;6.57;4.95;nan
* 6 Dra;12 34 44.0192875512 +70 01 18.405292548;6.255;4.946;nan
* kap Dra;12 33 28.9433168544 +69 47 17.659892220;3.75;3.89;3.84
HD 106574;12 15 08.4919348200 +70 12 00.030617424;6.909;5.719;nan
* lam Dra;11 31 24.2207524 +69 19 51.869616;5.47;3.85;2.54
HD 92523;10 43 04.0407163176 +69 04 34.369772376;6.397;4.992;nan
HD 92354;10 41 48.2585120304 +68 26 36.602880792;7.047;5.729;nan
V* VY UMa;10 45 04.0305312384 +67 24 40.979062260;8.34;5.95;4.2
* h UMa;09 31 31.7080711355 +63 03 42.695823224;4;3.67;3.33
* tau UMa;09 10 55.0419835680 +63 30 49.216366332;5.008;4.64;nan
* b UMa;08 53 22.5577646328 +61 57 44.158155984;6.03;5.74;nan
* c UMa;09 14 20.5420366248 +61 25 23.941063920;5.71;5.2;nan
* 30 Lyn;08 20 26.0598825840 +57 44 35.806402284;6.272;5.877;nan
HD 68077;08 13 50.1852983328 +56 27 08.104009644;6.863;5.85;nan
* 50 Cam;07 44 04.1779852224 +50 26 01.657820976;5.35;5.36;nan
HD 60652;07 37 53.8487778744 +48 46 25.835752740;6.138;5.906;nan
HD 61363;07 41 12.3988912440 +48 07 53.517714420;6.591;5.581;nan
HD 60437;07 36 31.6344797328 +46 10 49.031857848;7.21;5.65;nan
* phi Her;16 08 46.1762180496 +44 56 05.661355344;4.2;4.27;4.27
* ups Her;16 02 47.8978183032 +46 02 12.133917132;4.616;4.709;nan
V* BP Boo;15 42 50.7602109000 +52 21 39.243860316;5.43;5.482;nan
HD 139493;15 35 57.0330054792 +54 37 49.802397168;5.84;5.79;nan
HD 139357;15 35 16.1985929736 +53 55 19.709392008;7.16;5.964;nan
HD 139778;15 37 32.0074444368 +54 30 31.428812016;6.956;5.845;nan
HD 119476;13 41 29.8927348800 +64 49 20.679363336;5.93;5.85;nan
* i Dra;13 51 25.9393781 +64 43 23.772696;6.23;4.66;3.05
* 9 Dra;12 59 55.0715577048 +66 35 50.167972104;6.657;5.368;nan
* 8 Dra;12 55 28.5485641728 +65 26 18.507128532;5.516;5.225;nan
* 7 Dra;12 47 34.3433900208 +66 47 25.095345792;7.002;5.423;nan
* 3 Dra;11 42 28.3617943968 +66 44 41.663333724;6.582;5.308;nan
V* ET UMa;10 24 07.8468791760 +65 33 59.121373140;4.889;4.93;nan
* 32 UMa;10 18 02.0266817664 +65 06 30.066247728;5.91;5.76;nan
HD 70313;08 23 48.5013137736 +53 13 10.965328104;5.66;5.54;nan
* 27 Lyn;08 08 27.4463215 +51 30 24.005467;4.819;4.797;nan
* 26 Lyn;07 54 42.6982389000 +47 33 52.535933100;6.915;5.446;nan
HD 145931;16 11 47.5988226144 +42 22 28.439558004;7.348;5.868;nan
HD 139906;15 38 34.2047722176 +50 25 23.651633820;6.67;5.84;nan
HR 5715;15 20 05.1513076608 +51 57 30.654527472;5.753;5.64;nan
HD 134190;15 06 16.7173734168 +54 33 22.744582380;6.21;5.25;nan
HD 120787;13 49 45.5169540576 +61 29 21.506455104;6.928;5.964;nan
HD 111270;12 47 18.9504873960 +62 46 52.151402820;6.09;5.89;nan
* alf UMa A;11 03 43.668632 +61 45 03.72003;3.01;1.87;nan
* alf UMa B;11 03 43.598848 +61 45 03.14311;5.26;4.86;nan
* alf UMa;11 03 43.67152 +61 45 03.7249;2.86;1.79;0.98
* ups UMa;09 50 59.3580562703 +59 02 19.441043584;4.1;3.81;3.47
* 17 UMa;09 15 49.7816415408 +56 44 29.065606296;6.844;5.266;nan
V* CG UMa;09 21 43.2878012736 +56 41 57.193537416;7.08;5.47;nan
HD 77309;09 04 00.3997453128 +54 17 01.978455768;5.76;5.74;nan
HD 73017;08 38 22.1852310000 +53 24 05.545743516;6.609;5.645;nan
HD 73171;08 39 17.6230738872 +52 42 41.845136868;7.073;5.891;nan
* 2 Her;15 54 37.8497228904 +43 08 18.830085396;7.02;5.38;3.9
* 4 Her;15 55 30.5919435384 +42 33 58.291421364;5.64;5.75;nan
* chi Her;15 52 40.5410491705 +42 27 05.462878877;5.19;4.62;4.14
HD 139798;15 38 16.2430975752 +46 47 51.978816816;6.089;5.742;nan
HD 128000;14 32 30.9293109864 +55 23 52.781262432;7.244;5.718;nan
HD 128998;14 38 15.2215216824 +54 01 24.025416240;5.83;5.83;nan
HD 117376;13 28 27.0859848936 +59 56 44.832984072;5.39;5.4;nan
HD 111456;12 48 39.4470003426 +60 19 11.037876361;6.299;5.831;nan
V* T UMa;12 36 23.4652834704 +59 29 12.980496552;6.9;5.5;nan
HD 100203A;11 32 20.753592 +61 04 57.89784;6.11;5.64;nan
* 42 UMa;10 51 23.7214365624 +59 19 12.431462952;6.73;5.562;nan
* 44 Lyn;09 46 31.6645744848 +57 07 41.047970484;6.82;5.2;nan
HD 85945;09 57 13.6116423888 +57 25 05.538101952;6.854;5.959;nan
HD 86378;09 59 51.6871241448 +56 48 42.503398272;6.975;5.485;nan
* e UMa;09 16 11.3270161512 +54 01 18.686385192;4.995;4.805;nan
* f UMa;09 08 52.2576325 +51 36 16.732968;4.75;4.48;4.21
